5
2
4
7
3
1
2
2
4
2
3
4
5
4
3
6
2
4
2
4
4
5
4
2
1
4
3
3
3
갖/VV	2	갖다	VV
방송/NNG	2	방송	NNG
방송/NNG	2	방송	NNG
방송/NNG	2	방송	NNG
방송/NNG	2	방송	NNG
방송/NNG	2	방송	NNG
방송/NNG	2	방송	NNG
방송/NNG	2	방송	NNG
방송/NNG	2	방송	NNG
방송/NNG	2	방송	NNG
방송/NNG	2	방송	NNG
방송/NNG	2	방송	NNG
방송/NNG	2	방송	NNG
방송/NNG	2	방송	NNG
방송/NNG	2	방송	NNG
방송/NNG	2	방송	NNG
방송/NNG	2	방송	NNG
방송/NNG	2	방송	NNG
방송/NNG	2	방송	NNG
방송/NNG	2	방송	NNG
방송/NNG	2	방송	NNG
방송/NNG	2	방송	NNG
방송인/NNG	5	방송인	NNG
방송인/NNG	5	방송인	NNG
방송인/NNG	5	방송인	NNG
방송인/NNG	5	방송인	NNG
법/NNG	3	법	NNG
법/NNG	3	법	NNG
법적/NNG	4	법적	NNG
부정적/NNG	4	부정적	NNG
사람/NNG	1	사람	NNG
사람/NNG	1	사람	NNG
사람/NNG	1	사람	NNG
사람/NNG	1	사람	NNG
사람/NNG	1	사람	NNG
사람/NNG	1	사람	NNG
사람/NNG	1	사람	NNG
사이버/NNG	4	사이버	NNG
사이버/NNG	4	사이버	NNG
생각/NNG	1	생각	NNG
생방송/NNG	4	생방송	NNG
시청자/NNG	4	시청자	NNG
시청자/NNG	4	시청자	NNG
시청자/NNG	4	시청자	NNG
시청자/NNG	4	시청자	NNG
시청자/NNG	4	시청자	NNG
시청자/NNG	4	시청자	NNG
실제/NNG	4	실제	NNG
영향/NNG	3	영향	NNG
영향력/NNG	4	영향력	NNG
온라인/NNG	4	온라인	NNG
음악/NNG	1	음악	NNG
이유/NNG	1	이유	NNG
이유/NNG	1	이유	NNG
인기/NNG	2	인기	NNG
인기/NNG	2	인기	NNG
인기/NNG	2	인기	NNG
인기/NNG	2	인기	NNG
인기/NNG	2	인기	NNG
인터넷/NNG	1	인터넷	NNG
인터넷/NNG	1	인터넷	NNG
인터넷/NNG	1	인터넷	NNG
인터넷/NNG	1	인터넷	NNG
인터넷/NNG	1	인터넷	NNG
인터넷/NNG	1	인터넷	NNG
인터넷/NNG	1	인터넷	NNG
인터넷/NNG	1	인터넷	NNG
인터넷/NNG	1	인터넷	NNG
인터넷/NNG	1	인터넷	NNG
인터넷/NNG	1	인터넷	NNG
인터넷/NNG	1	인터넷	NNG
인터넷/NNG	1	인터넷	NNG
자극적/NNG	5	자극적	NNG
자극적/NNG	5	자극적	NNG
장점/NNG	3	장점	NNG
종류/NNG	2	종류	NNG
진행/NNG	3	진행	NNG
처벌/NNG	4	처벌	NNG
행동/NNG	2	행동	NNG
행동/NNG	2	행동	NNG
현상/NNG	4	현상	NNG
화폐/NNG	3	화폐	NNG
그대로/MAG	2	그대로	MA
그러나/MAJ	2	그러나	MA
그러므로/MAJ	2	그러므로	MA
더/MAG	1	더	MA
더욱/MAG	2	더욱	MA
또한/MAG	3	또한	MA
매우/MAG	2	매우	MA
바로/MAG	1	바로	MA
사실/MAG	2	사실	MA
서로/MAG	2	서로	MA
서로/MAG	2	서로	MA
서로/MAG	2	서로	MA
스스로/MAG	2	스스로	MA
아직/MAG	1	아직	MA
안/MAG	1	안	MA
잘/MAG	1	잘	MA
하지만/MAJ	1	하지만	MA
